Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,X_coordinate,Y_coordinate,Postal_code,Security_region_code,Security_region_name,Percentage_in_security_region,RNA_per_ml,Representative_measurement
2020/8/25,8017,Epe,196608,484240,8161PH,VR06,Noord- en Oost-Gelderland,1,0,TRUE
2020/8/25,25020,Kaatsheuvel,129083,407604,5171VG,VR20,Midden- en West-Brabant,1,0,TRUE
2020/8/25,25027,Lage Zwaluwe,107818,414149,4926CZ,VR20,Midden- en West-Brabant,1,0,TRUE
2020/8/25,6004,Lelystad,158268,501627,8243PE,VR25,Flevoland,1,329,TRUE
2020/8/25,25017,Nieuwveer,107848,404705,4823ZJ,VR20,Midden- en West-Brabant,1,58,TRUE
2020/8/25,17054,Piershil,83701,423791,3265LC,VR18,Zuid-Holland-Zuid,1,131,TRUE
2020/8/25,17011,Ridderkerk,101964,431762,2984BP,VR17,Rotterdam-Rijnmond,1,529,TRUE
2020/8/25,25013,Riel,129443,393499,5133AB,VR20,Midden- en West-Brabant,1,0,TRUE
2020/8/25,1039,Scheemda,262970,576581,9679TW,VR01,Groningen,1,0,TRUE
2020/8/25,1008,Stadskanaal,260571,559393,9501LH,VR01,Groningen,1,46,TRUE
2020/8/25,3023,Tweede Exloermond,260088,548924,7571BM,VR03,Drenthe,1,0,TRUE
2020/8/25,21001,Walcheren,31809,385219,4389VM,VR19,Zeeland,1,0,TRUE
2020/8/25,18006,Westerschouwen,42833,412362,4328NP,VR19,Zeeland,1,0,TRUE
2020/8/25,6006,Zeewolde,163136,485509,3899AW,VR25,Flevoland,1,208,TRUE
2020/8/26,9016,Arnhem,187878,442241,6841HJ,VR07,Gelderland-Midden,"0,864490095",270,TRUE
2020/8/26,9016,Arnhem,187878,442241,6841HJ,VR08,Gelderland-Zuid,"0,135509905",270,TRUE
2020/8/26,5025,Den Ham,228453,497777,7683PC,VR05,Twente,1,0,TRUE
2020/8/26,12023,Den Helder,115228,547921,1786PS,VR10,Noord-Holland-Noord,1,24,TRUE
2020/8/26,4019,Deventer,205851,476223,7414KA,VR04,IJsselland,1,171,TRUE
